instrument_id;name;symbol;alltime_high;first_shaken_at;first_shaken_price;recent_high;last_price
8438;MICROSTRATEGY INC-CL A;MSTR;221.6;2002-04-26;19.4;221.6;149.91
8440;MANNATECH INC;MTEX;260.4;2002-09-20;15.1;28.06;17.1
8441;MTS SYSTEMS CORP;MTSC;76.93;2008-11-20;22.8;76.93;52.81
8445;MAXIM INTEGRATED PRODUCTS;MXIM;59.35;2002-08-05;28.1;42.01;32.19
8446;Myriad Genetics, Inc.;MYGN;46.16;2002-04-25;12.5;46.16;40.13
8447;MYLAN NV;MYL;76.06;2007-08-09;14;76.06;53.11
8450;BBCN BANCORP INC;BBCN;21.97;2008-01-04;10.85;19.21;14.92
8454;NATIONAL INSTRUMENTS CORP;NATI;33.355;2002-10-03;9.15111111111111;32.92;28.92
8456;Newbridge Bancorp;NBBC;21;2007-11-26;10.48;13.14;10.48
8457;Neurocrine Biosciences, Inc.;NBIX;71.62;2002-06-11;24.85;57.63;50.37
8458;N B T BANCORP INC;NBTB;33.84;2009-03-05;16.09;30.36;24.59
8459;NASDAQ INC;NDAQ;59.97;2002-10-24;7.25;59.97;57.73
8460;NORDSON CORP;NDSN;84.3;2008-10-09;18.135;83.97;57.12
8463;Netflix, Inc.;NFLX;130.93;2002-10-02;0.578571428571429;130.93;100.72
8465;OHA INVESTMENT CORP;OHAI;18.21;2008-11-17;8.91;5.86;3.49
8467;Nicholas Financial, Inc.;NICK;17.2;2007-12-06;7.2;15.36;10.34
8469;Blue Nile, Inc.;NILE;100.5001;2008-01-15;47.35;38.21;34.2
8471;Nektar Therapeutics;NKTR;23.24;2002-04-08;8.96;17.41;14.76
8472;NN, Inc.;NNBR;29.91;2008-10-24;7.72;29.86;11.5
8483;NATL PENN BCSHS INC;NPBC;23.704;2008-07-15;11.68;12.75;11.14
8488;Northrim BanCorp Inc;NRIM;30.17;2008-07-09;15;29.43;23.42
8489;Insight Enterprises, Inc.;NSIT;32.52;2002-07-18;13.36;32.52;22.62
8490;NAPCO SECURITY TECHNOLOGIES;NSSC;11.7666666666667;2006-10-02;5.6;7.326;5.39
8492;NetApp, Inc.;NTAP;60.6;2002-05-29;12.84;39.79;21.51
8494;NETGEAR, Inc.;NTGR;45.5;2004-05-17;10.37;45.5;37.27
8495;Nutrisystem Inc;NTRI;75.42;2004-06-16;1.97;30.92;19.33
8496;NORTHERN TRUST CORP;NTRS;87.2;2002-10-07;30.74;78.66;60.42
8497;Nuance Communications, Inc.;NUAN;30.45;2002-08-30;4.34;21.45;18.17
8498;NUTRACEUTICAL INTL CORP;NUTR;28.1;2004-07-29;13;26.5;23.4
8499;NVIDIA CORP;NVDA;39.54;2002-04-23;11.8666666666667;33.75;28.45
8503;NORTHWEST PIPE CO;NWPX;63;2003-04-07;10.86;26.32;9.32
8505;TWENTY-FIRST CENTURY FOX-A;FOXA;39.01;2008-09-29;11.77;35.64;26.38
8507;OCEANFIRST FINANCIAL CORP;OCFC;27.99;2008-10-24;13.98;20.94;17.97
8508;OLD DOMINION FREIGHT LINE;ODFL;81.04;2008-11-20;8.46222222222222;80.38;52.6
8510;Orthofix International N.V.;OFIX;60.66;2008-04-04;30.21;41.71;38.84
8512;SOUTHWEST BANCORP INC/OKLA;OKSB;28.41;2008-06-18;14.08;18.78;15.82
8515;ON SEMICONDUCTOR CORP;ON;13.26;2002-05-28;2.9;13.26;8.34
8517;UNWIRED PLANET INC;UPIP;410.04;2002-02-06;199.44;12.96;10.54
8518;Orbotech Ltd.;ORBK;32.15;2002-09-13;15.721;22.53;20.57
8522;Old Second Bancorp, Inc.;OSBC;34.81;2008-06-13;16.83;8.07;6.6
8525;OPEN TEXT CORP;OTEX;61.19;2004-10-06;7.94;61.19;46.52
8526;OTTER TAIL CORP;OTTR;45.98;2008-10-08;22.19;33.07;26.54
8527;OmniVision Technologies, Inc.;OVTI;36.42;2002-09-24;3;29.36;28.83
8529;Bank of the Ozarks;OZRK;54.69;2008-06-17;4.755;54.69;43.71
8530;PAN AMERICAN SILVER CORP;PAAS;42.65;2008-09-08;20.79;11.94;5.93
8533;PacWest Bancorp;PACW;61.45;2008-02-28;30.07;48.35;36.28
8537;Paychex, Inc.;PAYX;54.44;2002-08-12;20.55;54.44;48.19
8538;PEOPLE'S UNITED FINANCIAL;PBCT;21.8047619047619;2011-08-08;10.76;16.85;13.94
8543;PACCAR Inc.;PCAR;70.76;2008-10-07;31.9;67.41;46.53
8545;PRICELINE GROUP INC/THE;PCLN;1469.56;2002-06-26;16.98;1469.56;1118.11
8546;PATTERSON COS INC;PDCO;53.58;2008-10-09;25.03;51.55;40.365
8547;PDL BioPharma, Inc.;PDLI;32.8;2002-02-25;15.74;7.72;3.21
8548;Peoples Bancorp Inc.;PEBO;32.12;2008-11-19;14.52;25.47;17.26
8550;Pegasystems Inc.;PEGA;29.93;2002-07-16;2.915;29.93;24.32
8551;Penn National Gaming, Inc.;PENN;63.29;2008-07-01;29.73;19.5;14.05
8552;PERRY ELLIS INTERNATIONAL;PERY;35.17;2007-11-20;17.17;27.67;17.99
8553;PDC ENERGY INC;PDCE;78.35;2003-01-15;-5.59;63.13;49.87
8555;PetMed Express, Inc.;PETS;24.5;2004-07-26;4.9;18.7;18.7
8558;PEAPACK GLADSTONE FINL CORP;PGC;37.46;2009-02-17;17.91;23.51;20.81
8561;Photronics, Inc.;PLAB;35.2;2002-06-21;17.02;12.92;12.11
8562;CHILDREN'S PLACE INC/THE;PLCE;71.08;2002-08-02;17.9;69.01;64.9
8563;Polycom, Inc.;PLCM;33.53;2002-04-26;9.505;14.08;10.6
8565;PLEXUS CORP;PLXS;46.91;2002-07-09;14.45;46.14;34.46
8566;Pacific Mercantile Bancorp;PMBC;19.99;2008-01-15;9.97;7.71;6.95
8568;PTC INC;PTC;42.53;2002-04-29;10.175;42.53;31.45
8570;PINNACLE FINANCIAL PARTNERS;PNFP;56.8;2009-03-02;18.08;56.8;48.41
8571;PENNANTPARK INVESTMENT CORP;PNNT;15.03;2008-04-11;7.31;9.77;5.17
8572;PANERA BREAD COMPANY-CLASS A;PNRA;204.48;2007-11-06;37.25;204.48;183.76
8573;POOL CORP;POOL;84.16;2007-09-21;24.8;84.16;76.2
8574;Power Integrations, Inc.;POWI;67.16;2002-08-05;11.9;57.52;44.2
8577;PRA GROUP INC;PRAA;64.46;2008-01-10;10.44;64.46;30.4
8578;Perficient, Inc.;PRFT;24.61;2002-06-03;0.91;21.19;18.78
8580;PROGRESS SOFTWARE CORP;PRGS;31.26;2009-02-10;11.26;30.27;26.5
8582;PROVIDENT FINANCIAL HLDGS;PROV;32.8;2007-12-21;16.28;19.14;18.79
8583;PROVIDENCE SERVICE CORP;PRSC;55.02;2008-07-29;10.05;55.02;45.1
8586;PAREXEL INTERNATIONAL CORP;PRXL;74.01;2002-10-07;4.225;74.01;65.06
8589;PACIFIC SUNWEAR OF CALIF;PSUN;28.9;2006-08-11;13.62;2.95;0.2134
8591;Patterson-UTI Energy, Inc.;PTEN;38.33;2007-11-21;18.98;22.575;12.67
8594;PULASKI FINANCIAL CORP;PULB;19.13;2007-12-19;9.459;17.01;14.58
8596;PrivateBancorp, Inc.;PVTB;47.2;2008-07-14;23.55;45.16;37.69
8607;PAPA JOHN'S INTL INC;PZZA;78.84;2008-10-27;9.29;78.84;48.86
8608;QAD INC-B;QADB;169.4;2002-07-16;24.5;23.18;16.5601
8609;QUALCOMM INC;QCOM;81.6;2002-05-07;12.4;72.705;48.07
8610;Qiagen N.V.;QGEN;28.21;2002-07-02;10.02;28.21;22.66
8611;QLOGIC CORP;QLGC;29.215;2002-09-23;13.68;15.89;11.86
8612;QLT Inc.;QLTI;30.3;2002-05-06;12.72;4.45;2.6
8616;Quality Systems, Inc.;QSII;50.045;2012-06-27;24.72;17.71;15.95
8618;FreightCar America, Inc.;RAIL;76.57;2007-09-28;38.2;31.78;18.59
8619;Raven Industries, Inc.;RAVN;42.53;2008-11-24;11.465;23.92;14.72
8620;REPUBLIC BANCORP INC-CLASS A;RBCAA;34.98;2007-09-12;14.61;27.26;23.76
8622;Rent-A-Center Inc.;RCII;40.5;2005-10-17;16.34;36.99;13.52
8623;UNITED FINANCIAL BANCORP INC;UBNK;15.21;2009-02-23;5.64383200369223;14.05;11.44
8624;Rocky Brands, Inc.;RCKY;35.2;2006-07-14;12.72;22.74;10.36
8627;Elizabeth Arden, Inc.;RDEN;49.25;2002-02-05;7.02;17.38;7.97
8628;Radware Ltd.;RDWR;24.48;2004-05-03;7.5;24.48;13.49
8629;Resources Connection, Inc.;RECN;35.42;2002-09-23;6.9;18.6;14.8
8631;RELIV INTERNATIONAL INC;RELV;18.1;2002-11-14;2.544;1.34;0.85
8632;RESOURCE AMERICA INC-CL A;REXI;39.69;2005-07-01;16.66;9.43;4.35
8634;Royal Gold, Inc.;RGLD;99.83;2003-03-03;13.1;76.62;26.44
8635;QUMU CORP;QUMU;33.92;2008-05-23;16.95;15.75;3.2299
8636;BLACKBERRY LTD;BBRY;147.55;2002-06-03;2.40833333333333;11.05;7.01
